experiment,dataset_group,model_group,score,n,roc_auc,pr_auc,mean_member,mean_nonmember,median_member,median_nonmember
booktection_comparison_llama31_8b,BookTection comparison,Llama 3.1 8B,run_length,200,0.5418000000000001,0.5469126207531564,0.69,0.4,0.0,0.0
booktection_comparison_llama31_8b,BookTection comparison,Llama 3.1 8B,edit_similarity,200,0.62765,0.6190717336587898,0.26951390659288355,0.25728427227424033,0.27230357562926366,0.2557424156774072
booktection_comparison_llama31_8b,BookTection comparison,Llama 3.1 8B,neg_log10_p_rlb,200,0.5476000000000001,0.5731915612998394,1.9149517114649754,1.1880520433410604,-0.0,-0.0
booktection_comparison_llama31_8b,BookTection comparison,Llama 3.1 8B,neg_log_p_esb,200,0.5807,0.6026484438353353,160.66406840866216,154.54250419828276,159.22078989272995,155.94589861644636
booktection_comparison_llama31_8b,BookTection comparison,Llama 3.1 8B,esb_evidence,200,0.6621,0.6893177174579681,43.30748903044171,39.64497961757049,42.8322766101992,39.425282388642174
booktection_comparison_llama33_70b,BookTection comparison,Llama 3.3 70B,run_length,200,0.5783,0.5976728395061729,1.89,0.65,0.0,0.0
booktection_comparison_llama33_70b,BookTection comparison,Llama 3.3 70B,edit_similarity,200,0.65935,0.6846365628915212,0.28007461338775913,0.25729094924840706,0.2737312030075188,0.2586798569192935
booktection_comparison_llama33_70b,BookTection comparison,Llama 3.3 70B,neg_log10_p_rlb,200,0.597,0.641470111845021,6.17608766324131,1.8258863985842375,-0.0,-0.0
booktection_comparison_llama33_70b,BookTection comparison,Llama 3.3 70B,neg_log_p_esb,200,0.5431,0.5546297751431601,166.5095778924172,164.25246495570346,165.74356206832454,163.49405199242756
booktection_comparison_llama33_70b,BookTection comparison,Llama 3.3 70B,esb_evidence,200,0.6515,0.645316871339729,46.67209999426892,42.23398221408742,45.563172674036984,42.149844417768584
booktection_sage_llama31_8b,BookTection + SAGE,Llama 3.1 8B,run_length,200,0.5458500000000001,0.5160185185185184,0.52,0.5,0.0,0.0
booktection_sage_llama31_8b,BookTection + SAGE,Llama 3.1 8B,edit_similarity,200,0.58245,0.5638412413606961,0.2641021284754454,0.2591123145261227,0.2630774183164333,0.25539680074545734
booktection_sage_llama31_8b,BookTection + SAGE,Llama 3.1 8B,neg_log10_p_rlb,200,0.5447000000000001,0.5204807415605808,1.7202054310762593,1.2675671855223398,-0.0,-0.0
booktection_sage_llama31_8b,BookTection + SAGE,Llama 3.1 8B,neg_log_p_esb,200,0.5068,0.5434674195145213,159.11322733488956,158.31089618982645,157.25458110737964,158.1817898552399
booktection_sage_llama31_8b,BookTection + SAGE,Llama 3.1 8B,esb_evidence,200,0.5561,0.5607334367309968,41.74514327613504,40.918232784971536,41.2917981887461,40.592447310767994
booktection_sage_llama33_70b,BookTection + SAGE,Llama 3.3 70B,run_length,200,0.48710000000000003,0.4875950043411474,0.54,0.66,0.0,0.0
booktection_sage_llama33_70b,BookTection + SAGE,Llama 3.3 70B,edit_similarity,200,0.6321000000000001,0.6365744913294968,0.27589879532944317,0.26008854295724665,0.27182906294088194,0.25780219780219776
booktection_sage_llama33_70b,BookTection + SAGE,Llama 3.3 70B,neg_log10_p_rlb,200,0.48880000000000007,0.5014169200466885,1.9165479328452897,2.004659905066896,-0.0,-0.0
booktection_sage_llama33_70b,BookTection + SAGE,Llama 3.3 70B,neg_log_p_esb,200,0.5352,0.595880139651089,168.26614651838798,164.9109199452615,166.29893794069358,165.25724568078294
booktection_sage_llama33_70b,BookTection + SAGE,Llama 3.3 70B,esb_evidence,200,0.6311,0.6552560713915048,46.132221692683444,42.85579421565252,45.38506214851925,43.10667165412197
wikimia_llama31_8b,WikiMIA,Llama 3.1 8B,run_length,82,0.41650853889943074,0.6264888069048759,1.2156862745098038,1.3225806451612903,0.0,1.0
wikimia_llama31_8b,WikiMIA,Llama 3.1 8B,edit_similarity,82,0.555977229601518,0.6524853318836135,0.2875440434519481,0.2806308743921596,0.2818532818532818,0.2759493670886076
wikimia_llama31_8b,WikiMIA,Llama 3.1 8B,neg_log10_p_rlb,82,0.4123972169512966,0.629978393404581,2.5578514852965992,3.3829412992025367,-0.0,4.2089404238262835
wikimia_llama31_8b,WikiMIA,Llama 3.1 8B,neg_log_p_esb,82,0.40417457305502846,0.5808960436421479,128.7640475742785,136.50772879173604,131.31884134720897,134.54890633537434
wikimia_llama31_8b,WikiMIA,Llama 3.1 8B,esb_evidence,82,0.4497153700189754,0.5840529643151742,36.8450752670929,38.119246004335146,38.136883287494584,36.599968725535525
wikimia_llama33_70b,WikiMIA,Llama 3.3 70B,run_length,82,0.46679316888045536,0.6149967054935717,1.607843137254902,1.8709677419354838,1.0,1.0
wikimia_llama33_70b,WikiMIA,Llama 3.3 70B,edit_similarity,82,0.5471220746363061,0.6711923634569239,0.29340030512013804,0.28551600236695424,0.2864197530864197,0.2768496420047732
wikimia_llama33_70b,WikiMIA,Llama 3.3 70B,neg_log10_p_rlb,82,0.4746995572422517,0.6279864002215287,3.329102731528197,3.613282421974512,3.8875422997922535,3.772806581429946
wikimia_llama33_70b,WikiMIA,Llama 3.3 70B,neg_log_p_esb,82,0.3972169512966477,0.5709165958979225,137.23046398341143,145.70503573624475,135.8760989587754,144.41000822465867
wikimia_llama33_70b,WikiMIA,Llama 3.3 70B,esb_evidence,82,0.41682479443390263,0.5930375614539268,40.154274665642546,41.59970459280403,37.71372690180543,42.08838259040066
